system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,vae,4000,2,3,3,7,0.41712992618100825,10,0.2657981513636608,1,0.0,4,0.2160560493822865,3,0.2910994161518028,0.2910994161518028
alanine,short,vae,4000,3,3,3,6,0.40512297143634546,14,0.22303284715229782,1,0.0,3,0.4107018795518742,2,0.5178100651187424,0.4107018795518742
alanine,short,vae,4000,4,3,3,12,0.2689119443759966,15,0.2272450510109317,1,0.0,4,0.617909020689208,2,0.7017746081790832,0.44792980552754574
alanine,short,vae,4000,5,3,3,8,0.4126395190356219,15,0.19463314739724258,1,0.0,15,0.19463314739724258,2,0.04583237381154781,0.3903918004867974
alanine,short,vae,4000,6,3,3,5,0.4509171000235346,14,0.20654073454838615,1,0.0,4,0.5780150733066689,2,0.6274314081781349,0.401788819602079
alanine,short,vae,4000,7,3,3,4,0.5602416675748142,15,0.20372544465157474,1,0.0,3,0.36638698582412216,3,0.36638698582412216,0.36638698582412216
alanine,subsample,pca,100,0,3,3,4,0.39994443716401956,14,0.11988654692416782,4,0.39994443716401956,4,0.39994443716401956,2,0.7209804403654577,0.406258771867932
alanine,subsample,pca,100,1,3,3,3,0.4267405681788723,12,0.18133689254487073,3,0.4267405681788723,3,0.4267405681788723,3,0.4267405681788723,0.4267405681788723
alanine,subsample,pca,100,2,3,3,4,0.41811008315513976,13,0.1170417357249029,4,0.41811008315513976,3,0.4215453370885858,3,0.4215453370885858,0.4215453370885858
alanine,subsample,pca,100,3,3,3,3,0.4021452163100855,10,0.21224343079256963,3,0.4021452163100855,3,0.4021452163100855,3,0.4021452163100855,0.4021452163100855
alanine,subsample,pca,100,4,3,3,4,0.4243401131101566,14,0.14822314839813808,4,0.4243401131101566,3,0.42344483825820745,2,0.7183963473441334,0.42344483825820745
alanine,subsample,pca,100,5,3,3,4,0.4611551679859615,14,0.140201782756262,4,0.4611551679859615,4,0.4611551679859615,2,0.7367395123960047,0.44089707012608825
alanine,subsample,pca,100,6,3,3,4,0.38229280167863755,14,0.12114303630215215,4,0.38229280167863755,3,0.3913962844216385,3,0.3913962844216385,0.3913962844216385
