potential,mode,method,n_frames,stride,n_trajs,seed,k_true,k_visited,min_basin_frac,k_bic,ari_bic,nmi_bic,hit_ceiling_bic,k_aic,ari_aic,nmi_aic,hit_ceiling_aic,k_icl,ari_icl,nmi_icl,hit_ceiling_icl,k_silhouette,ari_silhouette,nmi_silhouette,hit_ceiling_silhouette,k_elbow_gap,ari_elbow_gap,nmi_elbow_gap,hit_ceiling_elbow_gap,ari_oracle_k,nmi_oracle_k,pop_l1_bic,bic_curve,runtime_s
mueller_brown,short,pca,250,10,1,10,3,2,0.0,5,0.23294173998790504,0.43498565758247587,0,15,0.09452096764208974,0.32119728493546795,1,3,0.368886378284826,0.5230393036354005,0,2,0.7582184505088329,0.6792277368117994,0,2,0.7582184505088329,0.6792277368117994,0,0.368886378284826,0.5230393036354005,0.984,"{""1"": 1636.254152010657, ""2"": 1172.813868077815, ""3"": 1018.876243430656, ""4"": 1008.4594189852694, ""5"": 973.0366845292181, ""6"": 982.3900194586741, ""7"": 981.4574710520264, ""8"": 994.6170467470495, ""9"": 997.233934211259, ""10"": 1043.0444633106438, ""11"": 1061.7873577850885, ""12"": 1060.8105184759338, ""13"": 1083.8730364581418, ""14"": 1109.6482592566742, ""15"": 1107.3918978571728}",1.1686618328094482
mueller_brown,short,pca,250,10,1,11,3,1,0.0,1,1.0,1.0,0,3,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 1161.2346711235928, ""2"": 1181.6925183543935, ""3"": 1192.548792271218, ""4"": 1216.5198519383664, ""5"": 1244.0716510474915, ""6"": 1268.4339073332267, ""7"": 1294.0198775237218, ""8"": 1327.349445389751, ""9"": 1351.0695347038945, ""10"": 1372.5294574409916, ""11"": 1378.9536722796797, ""12"": 1431.1343299778378, ""13"": 1439.603220137102, ""14"": 1459.1783712732272, ""15"": 1465.4763354136667}",0.9955832958221436
mueller_brown,short,pca,250,10,1,12,3,1,0.0,2,0.0,0.0,0,13,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.784,"{""1"": 1286.0972893564103, ""2"": 1251.022288163607, ""3"": 1258.3474399565748, ""4"": 1279.9150909984737, ""5"": 1293.565564442745, ""6"": 1324.195027763245, ""7"": 1338.6398174189317, ""8"": 1380.4333882171045, ""9"": 1394.829550805141, ""10"": 1388.4585777512807, ""11"": 1444.4309727021862, ""12"": 1474.389653887419, ""13"": 1448.0736517083099, ""14"": 1494.5523173825934, ""15"": 1510.7014233442278}",0.9207510948181152
mueller_brown,short,pca,250,10,1,13,3,1,0.0,2,0.0,0.0,0,6,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.6559999999999999,"{""1"": 1274.1125224543705, ""2"": 1254.953056138387, ""3"": 1262.4563971379387, ""4"": 1265.6202275353257, ""5"": 1283.8738926826397, ""6"": 1286.2070768131339, ""7"": 1309.7034956961243, ""8"": 1339.9512813909555, ""9"": 1371.1928244640058, ""10"": 1387.8843702970082, ""11"": 1421.8996295674829, ""12"": 1441.6113865422324, ""13"": 1477.390813243474, ""14"": 1469.5937889858474, ""15"": 1503.5614321715861}",1.0697028636932373
mueller_brown,short,pca,250,10,1,14,3,1,0.0,2,0.0,0.0,0,4,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.8720000000000001,"{""1"": 1284.2791609029287, ""2"": 1283.9843503782877, ""3"": 1297.6973017380478, ""4"": 1303.2591720306154, ""5"": 1328.2303206163824, ""6"": 1355.521836884077, ""7"": 1378.4772698337283, ""8"": 1401.0046591396203, ""9"": 1416.6398323869817, ""10"": 1449.411207450474, ""11"": 1468.8924465049165, ""12"": 1500.3311817199058, ""13"": 1513.1833336166285, ""14"": 1541.428772875595, ""15"": 1565.899000223401}",0.958458423614502
mueller_brown,short,pca,250,10,1,15,3,1,0.0,2,0.0,0.0,0,12,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.784,"{""1"": 1330.5060331036498, ""2"": 1287.8347862595517, ""3"": 1289.329472045848, ""4"": 1290.7964672252056, ""5"": 1336.8997486822957, ""6"": 1331.6589863974077, ""7"": 1327.3488149337784, ""8"": 1343.1612013469712, ""9"": 1378.3632836072015, ""10"": 1394.1939313081602, ""11"": 1416.8458672064826, ""12"": 1426.1851042700732, ""13"": 1455.9941833683283, ""14"": 1479.5783730276567, ""15"": 1493.1684127993497}",1.0819473266601562
mueller_brown,short,pca,250,10,1,16,3,2,0.0,3,0.028355258077533974,0.058942286405126824,0,10,0.007888863484499797,0.061584743873020105,0,2,0.05832729655052379,0.061007043169975496,0,3,0.028355258077533974,0.058942286405126824,0,2,0.05832729655052379,0.061007043169975496,0,0.028355258077533974,0.058942286405126824,0.9759999999999999,"{""1"": 1444.9584371173319, ""2"": 1328.1583508315223, ""3"": 1311.1782140944142, ""4"": 1332.2658211930438, ""5"": 1352.6372859627734, ""6"": 1368.179358855507, ""7"": 1390.782863055429, ""8"": 1403.7732229038998, ""9"": 1421.191150082263, ""10"": 1435.262073724871, ""11"": 1458.3031297521966, ""12"": 1491.4916342515567, ""13"": 1513.3860957603415, ""14"": 1534.1321736951663, ""15"": 1564.6301370520573}",0.9922871589660645
mueller_brown,short,pca,250,10,1,17,3,1,0.0,2,0.0,0.0,0,7,0.0,0.0,0,2,0.0,0.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.544,"{""1"": 1371.2733319998881, ""2"": 1284.5668361618164, ""3"": 1302.678444797006, ""4"": 1287.7804009571323, ""5"": 1303.570326616763, ""6"": 1327.1770855428517, ""7"": 1331.6604756781956, ""8"": 1365.1915272486922, ""9"": 1382.3540063259097, ""10"": 1403.084152436952, ""11"": 1426.385023299966, ""12"": 1448.2017597537538, ""13"": 1467.8781437613593, ""14"": 1484.6517633507, ""15"": 1509.8008789237329}",1.2065818309783936
mueller_brown,short,pca,250,10,1,18,3,2,0.0,5,0.19138597051002418,0.3830570517661762,0,15,0.08583583546361939,0.2842366695635488,1,5,0.19138597051002418,0.3830570517661762,0,2,0.36080884374398164,0.3675990346263914,0,2,0.36080884374398164,0.3675990346263914,0,0.1775998029118052,0.31748450807337225,1.024,"{""1"": 1553.887741883847, ""2"": 1166.1555405492898, ""3"": 1096.4730449351473, ""4"": 1018.5421322946456, ""5"": 1013.6650519046711, ""6"": 1019.6718984040538, ""7"": 1030.9925334251736, ""8"": 1037.9707953530592, ""9"": 1034.2009194632246, ""10"": 1038.7825155880582, ""11"": 1054.257905338734, ""12"": 1076.8602390945848, ""13"": 1093.6051178995851, ""14"": 1114.0912844544328, ""15"": 1125.696127049644}",1.1261756420135498
mueller_brown,short,pca,250,10,1,19,3,2,0.0,6,0.29996924427337546,0.48404526016203225,0,15,0.17303639043655508,0.4112881006060847,1,6,0.29996924427337546,0.48404526016203225,0,2,0.8301174767695827,0.7710857969663111,0,2,0.8301174767695827,0.7710857969663111,0,0.5750048941857073,0.6431685210517484,1.04,"{""1"": 1750.85497809931, ""2"": 1140.9371663563008, ""3"": 1005.3258084577536, ""4"": 951.7442049476231, ""5"": 893.1054259674918, ""6"": 858.4113412632607, ""7"": 876.7436237790985, ""8"": 898.340277603701, ""9"": 919.4980647581699, ""10"": 938.4160400429225, ""11"": 958.7491842225211, ""12"": 988.7454781812221, ""13"": 1003.1896893005696, ""14"": 1018.1261981473117, ""15"": 1036.8414890783863}",1.2210562229156494
