system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,vae,250,5,3,2,1,0.0,1,0.0,1,0.0,2,-0.013718225827342017,2,-0.013718225827342017,0.060929581805067023
alanine,short,vae,250,6,3,2,1,0.0,1,0.0,1,0.0,3,0.09332807106610959,2,-0.0147169616128714,0.09332807106610959
alanine,short,vae,250,7,3,3,1,0.0,1,0.0,1,0.0,3,0.5251825955899799,3,0.5251825955899799,0.5251825955899799
alanine,short,pca,500,0,3,2,5,0.2791302639557352,8,0.17140500079619994,4,0.4234932785972667,3,0.4433937125691759,3,0.4433937125691759,0.4433937125691759
alanine,short,pca,500,1,3,2,5,0.39219867522790786,8,0.24527014337583247,3,0.5967440131301044,3,0.5967440131301044,3,0.5967440131301044,0.5967440131301044
alanine,short,pca,500,2,3,2,4,0.5913694220062804,12,0.18040052709809373,4,0.5913694220062804,4,0.5913694220062804,2,0.913763579275073,0.5937975355320735
alanine,short,pca,500,3,3,2,4,0.5650209138588964,15,0.15037953373948842,3,0.6453512873452552,3,0.6453512873452552,3,0.6453512873452552,0.6453512873452552
alanine,short,pca,500,4,3,2,7,0.2651360718693414,8,0.20997308559988098,3,0.5358413446244252,3,0.5358413446244252,3,0.5358413446244252,0.5358413446244252
alanine,short,pca,500,5,3,2,5,0.19483548183996555,15,0.07031099647922555,3,0.38751596051084924,3,0.38751596051084924,3,0.38751596051084924,0.38751596051084924
alanine,short,pca,500,6,3,2,4,0.09964805312965017,9,0.04248517340615747,3,0.22716954640186401,3,0.22716954640186401,2,-0.06049559045641587,0.22716954640186401
alanine,short,pca,500,7,3,3,4,0.5332080642612215,9,0.2788476376652505,3,0.6251002882469389,3,0.6251002882469389,3,0.6251002882469389,0.6251002882469389
alanine,short,tica,500,0,3,2,2,0.9413400655366766,4,0.3264744739951475,2,0.9413400655366766,2,0.9413400655366766,2,0.9413400655366766,0.44468582597891854
