system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,vae,500,1,3,2,1,0.0,3,0.3560214345711882,1,0.0,3,0.3560214345711882,2,0.018979504228892035,0.3560214345711882
alanine,short,vae,500,2,3,2,1,0.0,4,0.2073285789205583,1,0.0,3,0.2021316021106583,3,0.2021316021106583,0.2021316021106583
alanine,short,vae,500,3,3,2,1,0.0,1,0.0,1,0.0,3,0.2522112908968134,3,0.2522112908968134,0.2522112908968134
alanine,short,vae,500,4,3,2,1,0.0,5,0.09222087091586265,1,0.0,4,0.07702224801999984,3,0.07195778800976287,0.07195778800976287
alanine,short,vae,500,5,3,2,1,0.0,5,0.31082369674334975,1,0.0,12,0.16828194464845142,2,0.40853611396198247,0.4208795059753247
alanine,short,vae,500,6,3,2,1,0.0,4,0.27600000475330877,1,0.0,3,0.39220843091236945,3,0.39220843091236945,0.39220843091236945
alanine,short,vae,500,7,3,2,1,0.0,5,0.15973002095666758,1,0.0,3,0.15870059169713063,3,0.15870059169713063,0.15870059169713063
alanine,short,pca,1000,0,3,3,6,0.3530896075493314,11,0.18238283287732693,4,0.5131804392399485,3,0.5648497119682091,3,0.5648497119682091,0.5648497119682091
alanine,short,pca,1000,1,3,2,5,0.29344719272022146,11,0.15460184716506442,3,0.5230367829749089,3,0.5230367829749089,3,0.5230367829749089,0.5230367829749089
alanine,short,pca,1000,2,3,3,5,0.265898224176539,12,0.09837181001904771,3,0.4751775115195136,3,0.4751775115195136,3,0.4751775115195136,0.4751775115195136
alanine,short,pca,1000,3,3,2,5,0.24913369837958033,10,0.10302844140414402,3,0.4162089067169257,3,0.4162089067169257,3,0.4162089067169257,0.4162089067169257
alanine,short,pca,1000,4,3,2,7,0.10132491433816239,11,0.054783395994286326,3,0.2878477103621366,3,0.2878477103621366,3,0.2878477103621366,0.2878477103621366
alanine,short,pca,1000,5,3,2,5,0.3337878462499562,10,0.1734733251394344,3,0.5085916120943569,3,0.5085916120943569,3,0.5085916120943569,0.5085916120943569
alanine,short,pca,1000,6,3,2,6,0.2264638100756124,11,0.10969957243205426,3,0.4204035084783687,3,0.4204035084783687,3,0.4204035084783687,0.4204035084783687
alanine,short,pca,1000,7,3,2,6,0.29174420222763037,9,0.1833803716241141,4,0.5172538827486671,4,0.5172538827486671,3,0.5394507922693534,0.5394507922693534
alanine,short,tica,1000,0,3,3,3,0.9299506430455043,3,0.9299506430455043,2,0.9749561356789409,2,0.9749561356789409,2,0.9749561356789409,0.9299506430455043
alanine,short,tica,1000,1,3,2,4,0.47221975542487094,4,0.47221975542487094,2,0.9545782073177109,2,0.9545782073177109,2,0.9545782073177109,0.5314661085793525
alanine,short,tica,1000,2,3,3,2,0.9776089212107011,4,0.40321930501405373,2,0.9776089212107011,2,0.9776089212107011,2,0.9776089212107011,0.4053895787076984
alanine,short,tica,1000,3,3,2,2,0.9571711491836511,4,0.3588091833436956,2,0.9571711491836511,2,0.9571711491836511,3,0.4001918616810258,0.4001918616810258
alanine,short,tica,1000,4,3,2,2,0.9070208620154598,6,0.1905581733166723,2,0.9070208620154598,2,0.9070208620154598,3,0.26096262667192704,0.26096262667192704
alanine,short,tica,1000,5,3,2,3,0.9098688007910911,3,0.9098688007910911,2,0.9636232177709699,2,0.9636232177709699,2,0.9636232177709699,0.9098688007910911
alanine,short,tica,1000,6,3,2,4,0.6209806078137295,5,0.39033668011526695,2,0.9366677846059234,2,0.9366677846059234,2,0.9366677846059234,0.4102492608270789
alanine,short,tica,1000,7,3,2,2,0.9627323109379003,6,0.27998862119704837,2,0.9627323109379003,2,0.9627323109379003,2,0.9627323109379003,0.4914107661383346
alanine,short,vae,1000,0,3,3,3,0.5261784319210312,8,0.21894223884558384,1,0.0,3,0.5261784319210312,2,0.9010809293538641,0.5261784319210312
alanine,short,vae,1000,1,3,2,3,0.4935607492630889,13,0.12130803016750326,1,0.0,3,0.4935607492630889,3,0.4935607492630889,0.4935607492630889
