system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,500,4,3,3,4,0.5253358110930149,9,0.21703587927128135,4,0.5253358110930149,3,0.5275553613662185,3,0.5275553613662185,0.5275553613662185
alanine,short,pca,500,5,3,2,4,0.6486867698952367,11,0.22185435326677425,4,0.6486867698952367,3,0.6484488311588807,2,0.8833675046135394,0.6484488311588807
alanine,short,pca,500,6,3,2,4,0.4624213128433118,9,0.2113427609018061,3,0.5019150076004184,3,0.5019150076004184,3,0.5019150076004184,0.5019150076004184
alanine,short,pca,500,7,3,2,5,0.22486139785982312,6,0.18866197147842978,3,0.3945952114080307,3,0.3945952114080307,3,0.3945952114080307,0.3945952114080307
alanine,short,tica,500,0,3,2,2,0.9359462417387981,2,0.9359462417387981,2,0.9359462417387981,2,0.9359462417387981,2,0.9359462417387981,0.5141380528156365
alanine,short,tica,500,1,3,2,2,0.9602785594561035,8,0.29629576853729034,2,0.9602785594561035,2,0.9602785594561035,2,0.9602785594561035,0.630249286524936
alanine,short,tica,500,2,3,2,2,0.9358535230703703,3,0.8507667614405913,2,0.9358535230703703,2,0.9358535230703703,2,0.9358535230703703,0.8507667614405913
alanine,short,tica,500,3,3,2,2,0.9331640497127665,4,0.427700080383746,2,0.9331640497127665,2,0.9331640497127665,2,0.9331640497127665,0.4535383184609216
alanine,short,tica,500,4,3,3,2,0.9238844876039655,3,0.8441120350820913,2,0.9238844876039655,2,0.9238844876039655,2,0.9238844876039655,0.8441120350820913
alanine,short,tica,500,5,3,2,2,0.8985008768858485,2,0.8985008768858485,2,0.8985008768858485,2,0.8985008768858485,2,0.8985008768858485,0.6878235399303723
alanine,short,tica,500,6,3,2,2,0.9597064756652741,2,0.9597064756652741,2,0.9597064756652741,2,0.9597064756652741,2,0.9597064756652741,0.5677195197052751
alanine,short,tica,500,7,3,2,2,0.9543737628330482,2,0.9543737628330482,2,0.9543737628330482,2,0.9543737628330482,3,0.4585429846433333,0.4585429846433333
alanine,short,vae,500,0,3,2,1,0.0,5,0.32564393659205376,1,0.0,3,0.3799925928603686,3,0.3799925928603686,0.3799925928603686
alanine,short,vae,500,1,3,2,1,0.0,3,0.5972965888953252,1,0.0,2,0.8312690192839115,2,0.8312690192839115,0.5972965888953252
alanine,short,vae,500,2,3,2,1,0.0,3,0.5124956202081059,1,0.0,2,-0.0023380898082419003,2,-0.0023380898082419003,0.5124956202081059
alanine,short,vae,500,3,3,2,1,0.0,5,0.2706147373364953,1,0.0,10,0.09577354581713475,3,0.385730354619572,0.385730354619572
alanine,short,vae,500,4,3,3,2,0.9162378777417329,4,0.45919289162523796,1,0.0,3,0.5676653842430309,2,0.9162378777417329,0.5676653842430309
alanine,short,vae,500,5,3,2,2,0.8460941289993117,6,0.29014246827958007,1,0.0,2,0.8460941289993117,2,0.8460941289993117,0.6469161942471212
alanine,short,vae,500,6,3,2,1,0.0,3,0.49070458370831294,1,0.0,3,0.49070458370831294,2,0.0009223997936068854,0.49070458370831294
alanine,short,vae,500,7,3,2,1,0.0,3,0.2953142912074795,1,0.0,3,0.2953142912074795,2,0.43382797102909026,0.2953142912074795
alanine,short,pca,1000,0,3,3,5,0.2880051328248163,12,0.11940681181964663,3,0.5006235273055295,3,0.5006235273055295,3,0.5006235273055295,0.5006235273055295
alanine,short,pca,1000,1,3,2,5,0.4783884378417218,8,0.29941027042009927,3,0.6402846501919096,3,0.6402846501919096,2,0.8986004723026694,0.6402846501919096
alanine,short,pca,1000,2,3,3,5,0.2947907912984257,10,0.1570848681267522,3,0.5105457074772297,3,0.5105457074772297,3,0.5105457074772297,0.5105457074772297
alanine,short,pca,1000,3,3,3,6,0.32493768510645543,12,0.1455615540764633,3,0.581008670829251,3,0.581008670829251,2,0.8580776666468851,0.581008670829251
alanine,short,pca,1000,4,3,3,6,0.32960740909395225,8,0.27355022033313564,4,0.5889863939127535,4,0.5889863939127535,2,0.8885448363199145,0.5760765568351524
alanine,short,pca,1000,5,3,3,5,0.46959293047177275,10,0.26240804818197005,4,0.6106922911892058,3,0.642384188784576,2,0.8968295889396889,0.642384188784576
alanine,short,pca,1000,6,3,2,5,0.47065818361446504,7,0.36119832488293163,3,0.6413053911928398,3,0.6413053911928398,2,0.8872489428819658,0.6413053911928398
alanine,short,pca,1000,7,3,2,5,0.27475231272684203,9,0.19580739294872598,3,0.48083596138388274,3,0.48083596138388274,3,0.48083596138388274,0.48083596138388274
