potential,method,n_frames,dim,seed,k_true,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,pca,500,5,6,4,6,0.5684554355661734,12,0.3468901955909513,6,0.5684554355661734,4,0.9814911544397601,2,0.49325059967982593,0.9814911544397601,False,1.6812036037445068
prinz1d,pca,500,5,7,4,7,0.6268065436523564,15,0.3529030025034267,6,0.7004538814776677,4,0.9110233855264122,2,0.4855385253195818,0.9110233855264122,False,1.5425105094909668
prinz1d,pca,500,5,8,4,6,0.6808046962236883,11,0.4375390097601275,5,0.6976942225787031,4,0.9668828277166871,2,0.47446258922791834,0.9668828277166871,False,1.441253423690796
prinz1d,pca,500,5,9,4,7,0.5985865009455148,15,0.3840849546104428,7,0.5985865009455148,4,0.9384621115988152,2,0.5223926155103304,0.9384621115988152,False,1.4439330101013184
prinz1d,pca,1000,2,0,4,9,0.4993815745730672,14,0.36861087306488616,8,0.5576020679926103,4,0.8690842193737823,2,0.47335896355323526,0.8690842193737823,False,1.6771206855773926
prinz1d,pca,1000,2,1,4,10,0.48525356721203605,15,0.3333987059411691,6,0.7242536414806747,4,0.9367256991929178,2,0.5085950451629488,0.9367256991929178,False,1.7560365200042725
prinz1d,pca,1000,2,2,4,11,0.45879732152536046,13,0.412673406106527,9,0.5288762619253768,4,0.9012831846015222,2,0.4982457543874795,0.9012831846015222,False,1.9272518157958984
prinz1d,pca,1000,2,3,4,12,0.41857907838802905,13,0.4158233574622069,6,0.7070904669866059,4,0.9106599922625542,2,0.4739521590330028,0.9106599922625542,False,1.8780834674835205
prinz1d,pca,1000,2,4,4,9,0.5355068689786372,13,0.3979510272518916,6,0.7061140645891183,4,0.9342919412191022,2,0.4881102778647455,0.9342919412191022,False,1.6740632057189941
prinz1d,pca,1000,2,5,4,9,0.5359251136841944,14,0.3669125316325071,9,0.5359251136841944,4,0.9229070709011588,2,0.4997928901977499,0.9229070709011588,False,1.511784315109253
prinz1d,pca,1000,2,6,4,11,0.41381622213808195,14,0.36631017336258304,8,0.5304173322880807,4,0.8792945895589764,2,0.4686318121790315,0.8792945895589764,False,1.8896915912628174
prinz1d,pca,1000,2,7,4,10,0.49942711961761616,15,0.3500902820152321,8,0.604585896004948,4,0.9666315439852853,2,0.4940146277845153,0.9666315439852853,False,1.6889405250549316
prinz1d,pca,1000,2,8,4,9,0.4866141386438375,12,0.40909868876377825,5,0.7439860944875119,4,0.8456456315322936,2,0.4822982002717356,0.8456456315322936,False,1.7830162048339844
prinz1d,pca,1000,2,9,4,11,0.4794219335021645,14,0.40081957307236327,6,0.711023215610976,4,0.9783539211849347,2,0.5145525879473365,0.9783539211849347,False,1.6301887035369873
prinz1d,pca,1000,3,0,4,11,0.4339879161252808,15,0.34698752695109797,9,0.4629669062486125,4,0.9353010246700709,2,0.47335896355323526,0.9353010246700709,False,2.054816484451294
prinz1d,pca,1000,3,1,4,10,0.49536961693883375,13,0.4198289580659274,7,0.6402907070962225,4,0.9629141380006453,2,0.5085950451629488,0.9629141380006453,False,1.7244913578033447
prinz1d,pca,1000,3,2,4,11,0.45359446204943654,15,0.3698555944183365,10,0.4953486980158175,4,0.9199951463923146,2,0.4982457543874795,0.9199951463923146,False,2.1556122303009033
prinz1d,pca,1000,3,3,4,11,0.47801086808877313,14,0.39720150750181354,9,0.541468642808591,4,0.939484827896513,2,0.4776135912662029,0.939484827896513,False,2.109205722808838
prinz1d,pca,1000,3,4,4,9,0.5232702306815213,14,0.3871512839298619,7,0.6210189841352405,4,0.964731915738082,2,0.4881102778647455,0.964731915738082,False,1.9975223541259766
prinz1d,pca,1000,3,5,4,9,0.5359543741172355,14,0.38230528949221676,8,0.5663855633871587,4,0.9234419484376521,2,0.4997928901977499,0.9234419484376521,False,1.8153226375579834
prinz1d,pca,1000,3,6,4,10,0.4749855731365582,15,0.3309287378374059,8,0.5493820836433893,4,0.8973699944707908,2,0.4686318121790315,0.8973699944707908,False,1.9119338989257812
prinz1d,pca,1000,3,7,4,10,0.49087565225528124,15,0.37783174182951135,8,0.5991302626306697,4,0.9877311370240057,2,0.4940146277845153,0.9877311370240057,False,2.037710428237915
prinz1d,pca,1000,3,8,4,10,0.4884970925083425,15,0.3437978252224979,8,0.5315370673864424,4,0.8501599457031382,2,0.48422647916124717,0.8501599457031382,False,2.731799364089966
prinz1d,pca,1000,3,9,4,10,0.526590642988385,13,0.4637892475391698,9,0.5784907860415136,4,0.9838110275938817,2,0.5145525879473365,0.9838110275938817,False,2.570244312286377
prinz1d,pca,1000,5,0,4,9,0.45797745633780107,15,0.34114790531914735,9,0.45797745633780107,4,0.9640398263903518,2,0.47335896355323526,0.9640398263903518,False,2.520289897918701
prinz1d,pca,1000,5,1,4,8,0.580807529692772,15,0.3813646960719704,7,0.6634767924154172,4,0.9747960974043856,2,0.5085950451629488,0.9747960974043856,False,2.3224899768829346
prinz1d,pca,1000,5,2,4,9,0.48046751877474997,13,0.4303042246009151,8,0.5616595025236149,4,0.9523246075994591,2,0.4982457543874795,0.9523246075994591,False,2.166428565979004
prinz1d,pca,1000,5,3,4,10,0.5137742608354563,14,0.3848267984104389,10,0.5137742608354563,4,0.9578495557417618,2,0.4776135912662029,0.9578495557417618,False,1.98984956741333
