potential,n_frames,lag,seed,n_usable_pairs,k_true,k_bic,ari_bic,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,16000,10,0,15990,4,11,0.528570223693832,0.763394995587429,False,44.99577617645264
prinz1d,16000,10,1,15990,4,12,0.5231966158898994,0.819525773429287,False,45.64923810958862
prinz1d,16000,10,2,15990,4,12,0.46978137546955306,0.8634188070794706,False,47.08060121536255
prinz1d,16000,10,3,15990,4,11,0.527413676582187,0.7923698701273163,False,47.02434706687927
prinz1d,16000,10,4,15990,4,11,0.5435423590844712,0.8012163029187174,False,45.89715075492859
prinz1d,16000,10,5,15990,4,11,0.5241950889954294,0.8095466960575132,False,46.042858600616455
prinz1d,16000,10,6,15990,4,12,0.41276810136828956,0.6730669039766489,False,45.62472629547119
prinz1d,16000,10,7,15990,4,13,0.5208381933699164,0.8152414488277588,False,45.5685453414917
prinz1d,16000,10,8,15990,4,11,0.5225698390878786,0.7505076415540377,False,44.95924711227417
prinz1d,16000,10,9,15990,4,10,0.5590542383793636,0.8768529245779736,False,45.652742862701416
prinz1d,16000,20,0,15980,4,10,0.4798717067861174,0.6389045790991272,False,46.2344970703125
prinz1d,16000,20,1,15980,4,10,0.5009345596774364,0.6934107428095371,False,46.96212577819824
prinz1d,16000,20,2,15980,4,11,0.46990268396990714,0.794359231782463,False,45.683274030685425
prinz1d,16000,20,3,15980,4,11,0.4980215074805489,0.5437271253247542,False,47.805935859680176
prinz1d,16000,20,4,15980,4,10,0.5221559239876289,0.6961455416635547,False,46.67811918258667
prinz1d,16000,20,5,15980,4,11,0.5263488767744565,0.8096246731794179,False,45.58983302116394
prinz1d,16000,20,6,15980,4,10,0.44378681743634396,0.6273174836412803,False,45.14080882072449
prinz1d,16000,20,7,15980,4,10,0.4748850510533548,0.7204223296987523,False,45.02293586730957
